,Time,Power
0,20180101_0,105.7600000000093
1,20180101_1,104.9439999999886
2,20180101_2,105.551999999996
3,20180101_3,108.512000000017
4,20180101_4,102.8959999999788
5,20180101_5,98.65600000001723
6,20180101_6,105.3759999999893
7,20180101_7,102.1440000000002
8,20180101_9,98.54399999999441
9,20180101_10,99.16800000000512
10,20180101_11,97.18400000000838
11,20180101_12,101.5039999999863
12,20180101_13,101.4560000000056
13,20180101_15,109.0879999999888
14,20180101_16,121.0400000000081
15,20180101_18,115.7440000000061
16,20180101_20,130.4800000000105
17,20180101_21,133.8559999999998
18,20180101_22,135.487999999983
19,20180102_0,131.2479999999923
20,20180102_1,123.8080000000191
21,20180102_2,121.61599999998
22,20180102_3,121.2960000000021
23,20180102_4,120.3360000000102
24,20180102_5,116.4640000000072
25,20180102_6,114.7839999999851
26,20180102_7,112.9280000000144
27,20180102_8,110.4159999999974
28,20180102_10,112.4320000000007
29,20180102_11,110.2240000000165
30,20180102_12,110.1759999999776
31,20180102_14,116.9440000000177
32,20180102_15,135.0080000000016
33,20180102_16,135.8879999999772
34,20180102_17,155.4560000000056
35,20180102_18,157.3760000000184
36,20180102_19,158.9919999999984
37,20180102_20,157.1520000000019
38,20180102_21,166.7839999999851
39,20180102_22,159.551999999996
40,20180102_23,152.7680000000109
41,20180103_0,145.0400000000081
42,20180103_1,143.7599999999802
43,20180103_3,127.3280000000086
44,20180103_4,119.2159999999858
45,20180103_5,115.9679999999935
46,20180103_6,121.6800000000221
47,20180103_7,142.9919999999984
48,20180103_8,218.6239999999816
49,20180103_9,239.6320000000123
50,20180103_10,274.6239999999816
51,20180103_11,275.3920000000217
52,20180103_12,268.3679999999877
53,20180103_13,255.0240000000049
54,20180103_14,268.9919999999984
55,20180103_15,273.6160000000091
56,20180103_16,286.8959999999788
57,20180103_17,240.3360000000102
58,20180103_18,184.127999999997
59,20180103_19,278.127999999997
60,20180103_20,277.0080000000016
61,20180103_21,267.3600000000151
62,20180103_22,254.7839999999851
63,20180103_23,226.6720000000205
64,20180104_0,124.8640000000014
65,20180104_1,118.3039999999746
66,20180104_2,118.4640000000072
67,20180104_3,109.2479999999923
68,20180104_4,109.1359999999986
